sample_id,sample_name,organism,title,seq_method,collection_date,biome,feature,geo_loc_country,geo_loc_state,geo_loc_city,latitude,longitude,material,elevation,depth,pool_dna_extracts,samp_size,samp_collection_device,samp_weight_dna_ext,sieving,storage_cond,annual_season_precpt,annual_season_temp,bulk_density,drainage_class,fao_class,horizon,local_class,porosity,profile_position,slope_aspect,slope_gradient,soil_type,texture_class,water_content_soil,pH,EC,tot_C,tot_OM,tot_N,NO3_N,NH4_N,P,K,S,Zn,Fe,Cu,Mn,Ca,Mg,Na,B,agrochem_amendments,agrochem_amendments_desc,biological_amendments,biological_amendments_desc,soil_amendments,soil_amendments_desc,cover_crop,crop_rotation,cur_land_use,cur_vegetation,cur_crop,cur_cultivar,organic,previous_land_use,tillage,rRNA_copies,microbial_biomass_C,microbial_biomass_N,microbial_respiration,usr_cat1,usr_cat2,usr_cat3,usr_cat4,usr_cat5,usr_cat6,usr_quant1,usr_quant2,usr_quant3,usr_quant4,usr_quant5,usr_quant6
null,CO.Bulk.New.Rose.NA.NA,soil metagenome,FarmManagement,V3 16S rRNA,6/1/2011,farm,farm,USA,CO,San Luis Valley,37,105,bulk soil,7536,0-30,1,null,null,0.5,2,-20,8.6,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,yes,8 ton compost,null,"potato, quinoa, green manure",farm,potato,potato,Rose,yes,null,null,null,null,null,null,WhiteMountain,flowering,null,null,null,null,null,null,null,null,null,null
null,CO.Bulk.Worley.Centennial.NA.NA,soil metagenome,FarmManagement,V3 16S rRNA,6/1/2011,farm,farm,USA,CO,San Luis Valley,37,105,bulk soil,7536,0-30,1,null,null,0.5,2,-20,8.6,null,null,null,null,null,null,null,null,null,null,null,null,null,6.8,null,null,1.54,null,3,2.2,28,265,null,null,null,null,null,null,null,null,null,null,null,null,null,no,null,null,"barley, potato",farm,potato,potato,Centennial,no,null,null,null,null,null,null,WorleyFarm,flowering,null,null,null,null,null,null,null,null,null,null
null,CO.Bulk.Rockey.Binjte.NA.NA,soil metagenome,FarmManagement,V3 16S rRNA,6/1/2011,farm,farm,USA,CO,San Luis Valley,37,105,bulk soil,7536,0-30,1,null,null,0.5,2,-20,8.6,null,null,null,null,null,null,null,null,null,null,sand clay loam,null,null,8,null,null,1.4,13,null,null,34,425,46,3.5,7.5,1.1,12.5,3150,265,56,1.17,null,null,null,null,no,null,7mix,"potato, covercropmix",farm,potato,potato,Binjte,hybrid,null,null,null,null,null,null,RockeyFarm,flowering,null,null,null,null,null,null,null,null,null,null
null,CO.Bulk.New.Desiree.NA.NA,soil metagenome,FarmManagement,V3 16S rRNA,6/1/2011,farm,farm,USA,CO,San Luis Valley,37,105,bulk soil,7536,0-30,1,null,null,0.5,2,-20,8.6,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,yes,8 ton compost,null,"potato, quinoa, green manure",farm,potato,potato,Desiree,yes,null,null,null,null,null,null,WhiteMountain,flowering,null,null,null,null,null,null,null,null,null,null
null,CO.Bulk.Worley.RioGrande.NA.NA,soil metagenome,FarmManagement,V3 16S rRNA,6/1/2011,farm,farm,USA,CO,San Luis Valley,37,105,bulk soil,7536,0-30,1,null,null,0.5,2,-20,8.6,null,null,null,null,null,null,null,null,null,null,null,null,null,6.8,null,null,1.54,null,3,2.2,28,265,null,null,null,null,null,null,null,null,null,null,null,null,null,no,null,null,"barley, potato",farm,potato,potato,Rio Grande,no,null,null,null,null,null,null,WorleyFarm,flowering,null,null,null,null,null,null,null,null,null,null
null,CO.Bulk.Rockey.MarisPiper.NA.NA,soil metagenome,FarmManagement,V3 16S rRNA,6/1/2011,farm,farm,USA,CO,San Luis Valley,37,105,bulk soil,7536,0-30,1,null,null,0.5,2,-20,8.6,null,null,null,null,null,null,null,null,null,null,sand clay loam,null,null,8,null,null,1.4,13,null,null,34,425,46,3.5,7.5,1.1,12.5,3150,265,56,1.17,null,null,null,null,no,null,7mix,"potato, covercropmix",farm,potato,potato,Maris Piper,hybrid,null,null,null,null,null,null,RockeyFarm,flowering,null,null,null,null,null,null,null,null,null,null
null,CO.Rhiz.New.Rose.NA.NA,soil metagenome,FarmManagement,V3 16S rRNA,6/1/2011,farm,farm,USA,CO,San Luis Valley,37,105,root associated,7536,0-30,1,null,null,0.5,null,-20,8.6,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,yes,8 ton compost,null,"potato, quinoa, green manure",farm,potato,potato,Rose,yes,null,null,null,null,null,null,WhiteMountain,flowering,null,null,null,null,null,null,null,null,null,null
null,CO.Rhiz.Worley.Centennial.NA.NA,soil metagenome,FarmManagement,V3 16S rRNA,6/1/2011,farm,farm,USA,CO,San Luis Valley,37,105,root associated,7536,0-30,1,null,null,0.5,null,-20,8.6,null,null,null,null,null,null,null,null,null,null,null,null,null,6.8,null,null,1.54,null,3,2.2,28,265,null,null,null,null,null,null,null,null,null,null,null,null,null,no,null,null,"barley, potato",farm,potato,potato,Centennial,no,null,null,null,null,null,null,WorleyFarm,flowering,null,null,null,null,null,null,null,null,null,null
null,CO.Rhiz.Rockey.Binjte.NA.NA,soil metagenome,FarmManagement,V3 16S rRNA,6/1/2011,farm,farm,USA,CO,San Luis Valley,37,105,root associated,7536,0-30,1,null,null,0.5,null,-20,8.6,null,null,null,null,null,null,null,null,null,null,sand clay loam,null,null,8,null,null,1.4,13,null,null,34,425,46,3.5,7.5,1.1,12.5,3150,265,56,1.17,null,null,null,null,no,null,7mix,"potato, covercropmix",farm,potato,potato,Binjte,hybrid,null,null,null,null,null,null,RockeyFarm,flowering,null,null,null,null,null,null,null,null,null,null
null,CO.Rhiz.New.Desiree.NA.NA,soil metagenome,FarmManagement,V3 16S rRNA,6/1/2011,farm,farm,USA,CO,San Luis Valley,37,105,root associated,7536,0-30,1,null,null,0.5,null,-20,8.6,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,yes,8 ton compost,null,"potato, quinoa, green manure",farm,potato,potato,Desiree,yes,null,null,null,null,null,null,WhiteMountain,flowering,null,null,null,null,null,null,null,null,null,null
null,CO.Rhiz.Worley.RioGrande.NA.NA,soil metagenome,FarmManagement,V3 16S rRNA,6/1/2011,farm,farm,USA,CO,San Luis Valley,37,105,root associated,7536,0-30,1,null,null,0.5,null,-20,8.6,null,null,null,null,null,null,null,null,null,null,null,null,null,6.8,null,null,1.54,null,3,2.2,28,265,null,null,null,null,null,null,null,null,null,null,null,null,null,no,null,null,"barley, potato",farm,potato,potato,Rio Grande,no,null,null,null,null,null,null,WorleyFarm,flowering,null,null,null,null,null,null,null,null,null,null
null,CO.Rhiz.Rockey.MarisPiper.NA.NA,soil metagenome,FarmManagement,V3 16S rRNA,6/1/2011,farm,farm,USA,CO,San Luis Valley,37,105,root associated,7536,0-30,1,null,null,0.5,null,-20,8.6,null,null,null,null,null,null,null,null,null,null,sand clay loam,null,null,8,null,null,1.4,13,null,null,34,425,46,3.5,7.5,1.1,12.5,3150,265,56,1.17,null,null,null,null,no,null,7mix,"potato, covercropmix",farm,potato,potato,Maris Piper,hybrid,null,null,null,null,null,null,RockeyFarm,flowering,null,null,null,null,null,null,null,null,null,null
null,OR.Bulk.Staunton.Classic.Holly51.Organic,soil metagenome,FarmManagement,V3 16S rRNA,6/1/2011,farm,farm,USA,CA,Tulelake,42.146,121.724,bulk soil,4091,0-30,1,null,null,0.5,2,-20,10,65,null,null,null,null,null,null,null,null,null,silty clay loam,null,null,7.9,null,null,3.9,41.7,null,null,89,440,null,null,null,null,null,null,null,null,null,null,null,null,null,yes,brewed tea,null,"fallow, potato, wheat",farm,potato,potato,Classic Russet,yes,null,null,null,null,null,null,Staunton,flowering,null,null,null,null,null,null,null,null,null,null
null,OR.Bulk.Staunton.Norkotah.Rajnus7.Organic,soil metagenome,FarmManagement,V3 16S rRNA,6/1/2011,farm,farm,USA,CA,Tulelake,42.146,121.724,bulk soil,4091,0-30,1,null,null,0.5,2,-20,10,65,null,null,null,null,null,null,null,null,null,silty clay loam,null,null,7.9,null,null,3.9,41.7,null,null,89,440,null,null,null,null,null,null,null,null,null,null,null,null,null,yes,brewed tea,null,"fallow, potato, wheat",farm,potato,potato,Norkotah,yes,null,null,null,null,null,null,Staunton,flowering,null,null,null,null,null,null,null,null,null,null
null,OR.Bulk.Staunton.Norkotah.Cheyne53.Organic,soil metagenome,FarmManagement,V3 16S rRNA,6/1/2011,farm,farm,USA,CA,Tulelake,42.146,121.724,bulk soil,4091,0-30,1,null,null,0.5,2,-20,10,65,null,null,null,null,null,null,null,null,null,silty clay loam,null,null,7.9,null,null,3.9,41.7,null,null,89,440,null,null,null,null,null,null,null,null,null,null,null,null,null,yes,brewed tea,null,"fallow, potato, wheat",farm,potato,potato,Norkotah,yes,null,null,null,null,null,null,Staunton,flowering,null,null,null,null,null,null,null,null,null,null
null,OR.Bulk.Staunton.Norkotah.Cheyne15.NA,soil metagenome,FarmManagement,V3 16S rRNA,6/1/2011,farm,farm,USA,CA,Tulelake,42.146,121.724,bulk soil,4091,0-30,1,null,null,0.5,2,-20,10,65,null,null,null,null,null,null,null,null,null,silty clay loam,null,null,7.9,null,null,3.9,41.7,null,null,89,440,null,null,null,null,null,null,null,null,null,null,null,null,null,yes,brewed tea,null,"fallow, potato, wheat",farm,potato,potato,Norkotah,yes,null,null,null,null,null,null,Staunton,flowering,null,null,null,null,null,null,null,null,null,null
null,OR.Bulk.Walker.unknown.FL2126.Compost,soil metagenome,FarmManagement,V3 16S rRNA,6/1/2011,farm,farm,USA,OR,Malin,42.146,121.724,bulk soil,4091,0-30,1,null,null,0.5,2,-20,10,65,null,null,null,null,null,null,null,null,null,sandy loam,null,null,6.5,null,null,1.98,null,4,2,68,214,null,null,null,null,null,null,null,null,null,null,null,null,null,yes,compost,null,"alfalfa, potato wheat",farm,potato,potato,Frito Lay 2126,no,null,null,null,null,null,null,Walker,flowering,null,null,null,null,null,null,null,null,null,null
null,OR.Bulk.Walker.unknown.FL2126.NoCompost,soil metagenome,FarmManagement,V3 16S rRNA,6/1/2011,farm,farm,USA,OR,Malin,42.146,121.724,bulk soil,4091,0-30,1,null,null,0.5,2,-20,10,65,null,null,null,null,null,null,null,null,null,sandy loam,null,null,6.5,null,null,1.98,null,4,2,68,214,null,null,null,null,null,null,null,null,null,null,null,null,null,no,null,null,"alfalfa, potato wheat",farm,potato,potato,Frito Lay 2126,no,null,null,null,null,null,null,Walker,flowering,null,null,null,null,null,null,null,null,null,null
null,OR.Bulk.Chin.Norland.BT.Organic,soil metagenome,FarmManagement,V3 16S rRNA,6/1/2011,farm,farm,USA,CA,Tulelake,42.146,121.724,bulk soil,4091,0-30,1,null,null,0.5,2,-20,10,65,null,null,null,null,null,null,null,null,null,loam,null,null,6.8,null,null,4.43,null,6,2,12,224,null,null,null,null,null,null,null,null,null,null,null,null,null,yes,brewed tea,null,"barley, potato, wheat",farm,potato,potato,Red Norland,yes,null,null,null,null,null,null,Chin,flowering,null,null,null,null,null,null,null,null,null,null
null,OR.Bulk.Lyman.Classic.Holly.NA,soil metagenome,FarmManagement,V3 16S rRNA,6/1/2011,farm,farm,USA,CA,Tulelake,42.146,121.724,bulk soil,4091,0-30,1,null,null,0.5,2,-20,10,65,null,null,null,null,null,null,null,null,null,silty clay loam,null,null,7.3,null,null,4.04,null,28,10,19,336,null,null,null,null,null,null,null,null,null,null,null,null,null,no,null,null,"barley, potato, wheat",farm,potato,potato,Classic Russet,no,null,null,null,null,null,null,Lyman,flowering,null,null,null,null,null,null,null,null,null,null
null,OR.Bulk.Crawford.Norkotah.Rajnus7.Organic,soil metagenome,FarmManagement,V3 16S rRNA,6/1/2011,farm,farm,USA,CA,Tulelake,42.146,121.724,bulk soil,4091,0-30,1,null,null,0.5,2,-20,10,65,null,null,null,null,null,null,null,null,null,silty clay loam,null,null,7.9,null,null,3.9,41.7,null,null,14,440,null,null,null,null,null,null,null,null,null,null,null,null,null,yes,brewed tea,null,"barley, potato, wheat",farm,potato,potato,Norkotah,yes,null,null,null,null,null,null,Crawford,flowering,null,null,null,null,null,null,null,null,null,null
null,OR.Rhiz.Staunton.Classic.Holly51.Organic,soil metagenome,FarmManagement,V3 16S rRNA,6/1/2011,farm,farm,USA,CA,Tulelake,42.146,121.724,root associated,4091,0-30,1,null,null,0.5,null,-20,10,65,null,null,null,null,null,null,null,null,null,silty clay loam,null,null,7.9,null,null,3.9,41.7,null,null,89,440,null,null,null,null,null,null,null,null,null,null,null,null,null,yes,brewed tea,null,"fallow, potato, wheat",farm,potato,potato,Classic Russet,yes,null,null,null,null,null,null,Staunton,flowering,null,null,null,null,null,null,null,null,null,null
null,OR.Rhiz.Staunton.Norkotah.Rajnus7.Organic,soil metagenome,FarmManagement,V3 16S rRNA,6/1/2011,farm,farm,USA,CA,Tulelake,42.146,121.724,root associated,4091,0-30,1,null,null,0.5,null,-20,10,65,null,null,null,null,null,null,null,null,null,silty clay loam,null,null,7.9,null,null,3.9,41.7,null,null,89,440,null,null,null,null,null,null,null,null,null,null,null,null,null,yes,brewed tea,null,"fallow, potato, wheat",farm,potato,potato,Norkotah,yes,null,null,null,null,null,null,Staunton,flowering,null,null,null,null,null,null,null,null,null,null
null,OR.Rhiz.Staunton.Norkotah.Cheyne53.Organic,soil metagenome,FarmManagement,V3 16S rRNA,6/1/2011,farm,farm,USA,CA,Tulelake,42.146,121.724,root associated,4091,0-30,1,null,null,0.5,null,-20,10,65,null,null,null,null,null,null,null,null,null,silty clay loam,null,null,7.9,null,null,3.9,41.7,null,null,89,440,null,null,null,null,null,null,null,null,null,null,null,null,null,yes,brewed tea,null,"fallow, potato, wheat",farm,potato,potato,Norkotah,yes,null,null,null,null,null,null,Staunton,flowering,null,null,null,null,null,null,null,null,null,null
null,OR.Rhiz.Staunton.Norkotah.Cheyne15.NA,soil metagenome,FarmManagement,V3 16S rRNA,6/1/2011,farm,farm,USA,CA,Tulelake,42.146,121.724,root associated,4091,0-30,1,null,null,0.5,null,-20,10,65,null,null,null,null,null,null,null,null,null,silty clay loam,null,null,7.9,null,null,3.9,41.7,null,null,89,440,null,null,null,null,null,null,null,null,null,null,null,null,null,yes,brewed tea,null,"fallow, potato, wheat",farm,potato,potato,Norkotah,yes,null,null,null,null,null,null,Staunton,flowering,null,null,null,null,null,null,null,null,null,null
null,OR.Rhiz.Walker.unknown.FL2126.Compost,soil metagenome,FarmManagement,V3 16S rRNA,6/1/2011,farm,farm,USA,OR,Malin,42.146,121.724,root associated,4091,0-30,1,null,null,0.5,null,-20,10,65,null,null,null,null,null,null,null,null,null,sandy loam,null,null,6.5,null,null,1.98,null,4,2,68,214,null,null,null,null,null,null,null,null,null,null,null,null,null,yes,compost,null,"alfalfa, potato wheat",farm,potato,potato,Frito Lay 2126,no,null,null,null,null,null,null,Walker,flowering,null,null,null,null,null,null,null,null,null,null
null,OR.Rhiz.Walker.unknown.FL2126.NoCompost,soil metagenome,FarmManagement,V3 16S rRNA,6/1/2011,farm,farm,USA,OR,Malin,42.146,121.724,root associated,4091,0-30,1,null,null,0.5,null,-20,10,65,null,null,null,null,null,null,null,null,null,sandy loam,null,null,6.5,null,null,1.98,null,4,2,68,214,null,null,null,null,null,null,null,null,null,null,null,null,null,no,null,null,"alfalfa, potato wheat",farm,potato,potato,Frito Lay 2126,no,null,null,null,null,null,null,Walker,flowering,null,null,null,null,null,null,null,null,null,null
null,OR.Rhiz.Chin.Norland.BT.Organic,soil metagenome,FarmManagement,V3 16S rRNA,6/1/2011,farm,farm,USA,CA,Tulelake,42.146,121.724,root associated,4091,0-30,1,null,null,0.5,null,-20,10,65,null,null,null,null,null,null,null,null,null,loam,null,null,6.8,null,null,4.43,null,6,2,12,224,null,null,null,null,null,null,null,null,null,null,null,null,null,yes,brewed tea,null,"barley, potato, wheat",farm,potato,potato,Red Norland,yes,null,null,null,null,null,null,Chin,flowering,null,null,null,null,null,null,null,null,null,null
null,OR.Rhiz.Lyman.Classic.Holly.NA,soil metagenome,FarmManagement,V3 16S rRNA,6/1/2011,farm,farm,USA,CA,Tulelake,42.146,121.724,root associated,4091,0-30,1,null,null,0.5,null,-20,10,65,null,null,null,null,null,null,null,null,null,silty clay loam,null,null,7.3,null,null,4.04,null,28,10,19,336,null,null,null,null,null,null,null,null,null,null,null,null,null,no,null,null,"barley, potato, wheat",farm,potato,potato,Classic Russet,no,null,null,null,null,null,null,Lyman,flowering,null,null,null,null,null,null,null,null,null,null
null,OR.Rhiz.Crawford.Norkotah.Rajnus7.Organic,soil metagenome,FarmManagement,V3 16S rRNA,6/1/2011,farm,farm,USA,CA,Tulelake,42.146,121.724,root associated,4091,0-30,1,null,null,0.5,null,-20,10,65,null,null,null,null,null,null,null,null,null,silty clay loam,null,null,7.9,null,null,3.9,41.7,null,null,14,440,null,null,null,null,null,null,null,null,null,null,null,null,null,yes,brewed tea,null,"barley, potato, wheat",farm,potato,potato,Norkotah,yes,null,null,null,null,null,null,Crawford,flowering,null,null,null,null,null,null,null,null,null,null
