sample_id,sample_name,organism,title,seq_platform,seq_gene,seq_gene_region,seq_for_primer,seq_rev_primer,collection_date,biome,feature,geo_loc_country,geo_loc_state,geo_loc_city,geo_loc_farm,geo_loc_plot,latitude,longitude,material,elevation,depth,pool_dna_extracts,samp_size,samp_collection_device,samp_weight_dna_ext,sieving,storage_cond,annual_season_precpt,annual_season_temp,bulk_density,drainage_class,fao_class,horizon,local_class,porosity,profile_position,slope_aspect,slope_gradient,soil_type,texture_class,water_content_soil,pH,EC,tot_C,tot_OM,tot_N,NO3_N,NH4_N,P,K,S,Zn,Fe,Cu,Mn,Ca,Mg,Na,B,agrochem_amendments,agrochem_amendments_desc,biological_amendments,biological_amendments_desc,soil_amendments,soil_amendments_desc,cover_crop,crop_rotation,cur_land_use,cur_vegetation,cur_crop,cur_cultivar,organic,previous_land_use,tillage,rRNA_copies,microbial_biomass_C,microbial_biomass_N,microbial_respiration,usr_cat1,usr_cat2,usr_cat3,usr_cat4,usr_cat5,usr_cat6,usr_quant1,usr_quant2,usr_quant3,usr_quant4,usr_quant5,usr_quant6
a409e4fca989429a8bd3708e6c34eee7,sample1,soil metagenome,Bulk soil from Farm 1,454,16S rRNA,V3,27F,388R,1/1/2015,farm,farm,USA,CO,Center,Farm 1,Plot 1,37,105,bulk soil,7536,0-30,1,null,3.5in auger,0.5,2,-20,8.6,25,1.25,excessively drained,null,null,null,null,summit,N,3,sand,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,yes,8 ton compost,null,"potato, quinoa, green manure",farm,potato,potato,Rose,yes,null,disc plough,6.30E+08,null,null,null,Farm 1,null,null,null,null,null,186,null,null,null,null,null
a1a6f106b14d47aaabb0715c8f113916,sample2,soil metagenome,Bulk soil from Farm 2,454,16S rRNA,V3,27F,388R,1/1/2015,farm,farm,USA,CO,Center,Farm 2,Plot 1,37,105,bulk soil,7536,0-30,1,null,3.5in auger,0.5,2,-20,8.6,25,1.53,well,null,null,null,null,sholder,SE,6,clay,null,null,6.8,null,null,1.54,null,3,2.2,28,265,null,null,null,null,null,null,null,null,null,null,null,null,null,no,null,null,"barley, potato",farm,potato,potato,Centennial,no,null,disc plough,4.50E+08,null,null,null,Farm 2,null,null,null,null,null,63,null,null,null,null,null
9201e2d20c7d431bb337a1e596ec7e24,sample3,soil metagenome,Bulk soil from Farm 3,454,16S rRNA,V3,27F,388R,1/1/2015,farm,farm,USA,CO,Center,Farm 3,Plot 1,37,105,bulk soil,7536,0-30,1,null,3.5in auger,0.5,2,-20,8.6,25,1.65,moderately well,null,null,null,null,toeslope,W,9,loam,null,null,8,null,null,1.4,13,null,null,34,425,46,3.5,7.5,1.1,12.5,3150,265,56,1.17,null,null,null,null,no,null,7mix,"potato, covercropmix",farm,potato,potato,Binjte,hybrid,null,disc plough,5.30E+08,null,null,null,Farm 3,null,null,null,null,null,125,null,null,null,null,null
ae7b135c690b422d941a43e1dc90169e,sample4,soil metagenome,Bulk soil from Farm 1,454,16S rRNA,V3,27F,388R,1/1/2015,farm,farm,USA,CO,Center,Farm 1,Plot 2,37,105,bulk soil,7536,0-30,1,null,3.5in auger,0.5,2,-20,8.6,25,1.25,excessively drained,null,null,null,null,summit,N,3,sand,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,yes,8 ton compost,null,"potato, quinoa, green manure",farm,potato,potato,Desiree,yes,null,disc plough,1.03E+09,null,null,null,Farm 1,null,null,null,null,null,195,null,null,null,null,null
8b3d18b1ab8c46db96e4d6a1b23a1253,sample5,soil metagenome,Bulk soil from Farm 2,454,16S rRNA,V3,27F,388R,1/1/2015,farm,farm,USA,CO,Center,Farm 2,Plot 2,37,105,bulk soil,7536,0-30,1,null,3.5in auger,0.5,2,-20,8.6,25,1.53,well,null,null,null,null,sholder,SE,6,clay,null,null,6.8,null,null,1.54,null,3,2.2,28,265,null,null,null,null,null,null,null,null,null,null,null,null,null,no,null,null,"barley, potato",farm,potato,potato,Rio Grande,no,null,disc plough,5.80E+08,null,null,null,Farm 2,null,null,null,null,null,54,null,null,null,null,null
47dcd339e68d4d8489e17f16c238ea44,sample6,soil metagenome,Bulk soil from Farm 3,454,16S rRNA,V3,27F,388R,1/1/2015,farm,farm,USA,CO,Center,Farm 3,Plot 2,37,105,bulk soil,7536,0-30,1,null,3.5in auger,0.5,2,-20,8.6,25,1.65,moderately well,null,null,null,null,toeslope,W,9,loam,null,null,8,null,null,1.4,13,null,null,34,425,46,3.5,7.5,1.1,12.5,3150,265,56,1.17,null,null,null,null,no,null,7mix,"potato, covercropmix",farm,potato,potato,Maris Piper,hybrid,null,disc plough,4.35E+08,null,null,null,Farm 3,null,null,null,null,null,132,null,null,null,null,null
591ae08db7a24cb59ea3b2cb9f2ab4fa,sample7,soil metagenome,Rhizosphere soil from Farm 1,454,16S rRNA,V3,27F,388R,1/1/2015,farm,farm,USA,CO,Center,Farm 1,Plot 1,37,105,root associated,7536,0-30,1,null,3.5in auger,0.5,2,-20,8.6,25,1.25,excessively drained,null,null,null,null,summit,N,3,sand,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,yes,8 ton compost,null,"potato, quinoa, green manure",farm,potato,potato,Rose,yes,null,disc plough,3.53E+05,null,null,null,Farm 1,null,null,null,null,null,202,null,null,null,null,null
8440d4a1d205403cad91e9dd61157569,sample8,soil metagenome,Rhizosphere soil from Farm 2,454,16S rRNA,V3,27F,388R,1/1/2015,farm,farm,USA,CO,Center,Farm 2,Plot 1,37,105,root associated,7536,0-30,1,null,3.5in auger,0.5,2,-20,8.6,25,1.53,well,null,null,null,null,sholder,SE,6,clay,null,null,6.8,null,null,1.54,null,3,2.2,28,265,null,null,null,null,null,null,null,null,null,null,null,null,null,no,null,null,"barley, potato",farm,potato,potato,Centennial,no,null,disc plough,4.13E+05,null,null,null,Farm 2,null,null,null,null,null,48,null,null,null,null,null
9e1f1cf615b747cf986a7ae40a6831a7,sample9,soil metagenome,Rhizosphere soil from Farm 3,454,16S rRNA,V3,27F,388R,1/1/2015,farm,farm,USA,CO,Center,Farm 3,Plot 1,37,105,root associated,7536,0-30,1,null,3.5in auger,0.5,2,-20,8.6,25,1.65,moderately well,null,null,null,null,toeslope,W,9,loam,null,null,8,null,null,1.4,13,null,null,34,425,46,3.5,7.5,1.1,12.5,3150,265,56,1.17,null,null,null,null,no,null,7mix,"potato, covercropmix",farm,potato,potato,Binjte,hybrid,null,disc plough,3.02E+05,null,null,null,Farm 3,null,null,null,null,null,143,null,null,null,null,null
82d99fb4e6ee470aae201650690587c6,sample10,soil metagenome,Rhizosphere soil from Farm 1,454,16S rRNA,V3,27F,388R,1/1/2015,farm,farm,USA,CO,Center,Farm 1,Plot 2,37,105,root associated,7536,0-30,1,null,3.5in auger,0.5,2,-20,8.6,25,1.25,excessively drained,null,null,null,null,summit,N,3,sand,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,yes,8 ton compost,null,"potato, quinoa, green manure",farm,potato,potato,Desiree,yes,null,disc plough,2.98E+05,null,null,null,Farm 1,null,null,null,null,null,196,null,null,null,null,null
3e7fdb1d97524ab9b11d5e44c6cc91f0,sample11,soil metagenome,Rhizosphere soil from Farm 2,454,16S rRNA,V3,27F,388R,1/1/2015,farm,farm,USA,CO,Center,Farm 2,Plot 2,37,105,root associated,7536,0-30,1,null,3.5in auger,0.5,2,-20,8.6,25,1.53,well,null,null,null,null,sholder,SE,6,clay,null,null,6.8,null,null,1.54,null,3,2.2,28,265,null,null,null,null,null,null,null,null,null,null,null,null,null,no,null,null,"barley, potato",farm,potato,potato,Rio Grande,no,null,disc plough,7.10E+05,null,null,null,Farm 2,null,null,null,null,null,44,null,null,null,null,null
325371d7fdfd49d0af1dfc5e9905bbdd,sample12,soil metagenome,Rhizosphere soil from Farm 3,454,16S rRNA,V3,27F,388R,1/1/2015,farm,farm,USA,CO,Center,Farm 3,Plot 2,37,105,root associated,7536,0-30,1,null,3.5in auger,0.5,2,-20,8.6,25,1.65,moderately well,null,null,null,null,toeslope,W,9,loam,null,null,8,null,null,1.4,13,null,null,34,425,46,3.5,7.5,1.1,12.5,3150,265,56,1.17,null,null,null,null,no,null,7mix,"potato, covercropmix",farm,potato,potato,Maris Piper,hybrid,null,disc plough,5.13E+05,null,null,null,Farm 3,null,null,null,null,null,125,null,null,null,null,null
